"","subject","qc","fwhm","scheme","pipeline"
"157","4844037316900c3f1c0556fa8348c5c7b211174156cfebde83c1c6688e1c37cd",0.944992,5.14672406329,"DTI 64","QSIPrep"
"158","551d2572ce31fbc078db7e51d7ef98e2606751baadd707a34a897c9bb085d459",0.910212,5.09651670698,"DTI 64","QSIPrep"
"159","d2be36268122ec7baf668a3bc7d0ba6161321c3e34e38aa68cf4b09bf2de2612",0.925602,5.3169016747,"DTI 64","QSIPrep"
"160","1235175f0c087353e42380e0d336e6df16946151806b4314457b8c8a6d172b4a",0.937566,4.93845018358,"DTI 64","QSIPrep"
"161","a8c724f8f891a0f4c7c4235a3f7e49cf89ae382d12361c210f4da2628ee5c002",0.934547,4.75156049694,"DTI 64","QSIPrep"
"162","cb8572380eb9f36c3fe0f441e6b9038188e6f9e919f9adda661fe4e93f14ce81",0.887165,5.09665877469,"DTI 64","QSIPrep"
"163","a67e4ce15b366252a46b8044551cd67338d23a84bb9d52d4be7f9b6b4f0d911e",0.934272,5.2244800505,"DTI 64","QSIPrep"
"164","dd5adafe9ad6cc42220de730cab1db9e5d6897dbc7eade50e59e847781b65164",0.935115,4.960131959,"DTI 64","QSIPrep"
"165","ccc0d02ebaae29ded3fbce15fc55a2c990195ae4f6b6d5ef122b00969ee49b36",0.939928,5.39608829105,"DTI 64","QSIPrep"
"166","054bb9bada1d118e4abb60157d960be66fcb0844706e2d599285c2a88409b3bc",0.929631,4.73640204179,"DTI 64","QSIPrep"
"167","9209a11aaab318f26cd618df8f313bd13af900cf7348ec5e09afa6afe099b4a7",0.902974,5.04959030776,"DTI 64","QSIPrep"
"168","50357da6b8b6270984c6cb1a7533d87325edb82ee552cf33edbc56cab40888e8",0.929351,5.44157635572,"DTI 64","QSIPrep"
"169","91a2917d584f7139231065be3dd3e115a2676ca6aa4d6a4ee1097617b2de421c",0.927527,5.27355437085,"DTI 64","QSIPrep"
"170","dadea1423d67128ad2d1bdf6f469d8dd2863eb381676128a584ba31d46734f1a",0.930425,5.33341155364,"DTI 64","QSIPrep"
"171","5aaf90a437a51450858421cc13761d30b17eb6163b5e66ab45f3ae952ae200b7",0.897915,5.16597231858,"DTI 64","QSIPrep"
"172","aa7c8d82117908c5eaa1cbe3e88fdceeb374448da63bab9d17a17bb79052de08",0.942095,4.79017118783,"DTI 64","QSIPrep"
"173","fa66f906ccb6e4b38e0a697589a2dcdb4033e64d82bb5868ce043faaa3dbefb2",0.932527,5.16794489068,"DTI 64","QSIPrep"
"174","4cf18493e13e19ce59ba60e8e35e71e92d9f5af9a5259582fe719f5a06a3d35c",0.930759,5.31754512439,"DTI 64","QSIPrep"
"175","fda079781062fd9ddd288fca14f3e71207a21484b38a765818dc5da6b53e5b2c",0.94237,5.32487508195,"DTI 64","QSIPrep"
"176","67d36d8f904598a58a398e41d576f38515a6c26942069d8aedd50980beb488ed",0.939085,4.79102004994,"DTI 64","QSIPrep"
"177","20e227ba25bedb5f4589e4bb586f152459938d895e192d6b8b17b045ffe7589c",0.931592,4.99960984463,"DTI 64","QSIPrep"
"178","5f400d51bdd5e9b75273b2ed20393916e5ebdf2a79647ded7acb6d5107d2ab32",0.934387,5.09300347357,"DTI 64","QSIPrep"
"179","9458f75976337f90bb0aa534e25f0765bcd0a3f5a3645ca7106554f24622371a",0.919475,5.41625302135,"DTI 64","QSIPrep"
